"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
5606,"Ritalin","NOV","Tab","10mg","2012-04-16","2022-07-11","Methylphenidate","Stimulant- ADHD and narcolepsy","",NA
5614,"Ritalin","NOV","Tab","20mg","2012-04-16","","Methylphenidate","Stimulant- ADHD and narcolepsy","",NA
12696,"Dalmane","VAL","Cap","15mg","2012-04-16","","Flurazepam","BZD- insomnia ","",NA
12718,"Dalmane","VAL","Cap","30mg","2012-04-16","","Flurazepam","BZD- insomnia ","",NA
13285,"Valium","HLR","Tab","5mg","2012-04-16","","Diazepam","BZD","",NA
36323,"Lomotil","PFI","Tab","2.5mg & 0.025mg","2012-04-16","","Diphenoxylate hydrochloride + Atropine sulfate","Opioid","",NA
50024,"Codeine Phosphate Sirop De","LAA","O/L","143mg","2012-04-16","","Codeine phosphate","Opioid","",NA
68594,"CoActifed","BWE","O/L","2mg/5mL & 30mg/5mL & 10 mg/5mL","2012-04-16","","Codeine phosphate + Triprolidine hydrochloride + Pseudoephedrine hydrochloride","Opioid/ stimulant","",NA
68608,"Coactifed","GSK","Tab","20mg","2012-04-16","","Codeine phosphate + Triprolidine hydrochloride + Pseudoephedrine hydrochloride","Opioid/ stimulant","",NA
68756,"Coactifed","GSK","O/L","100mg","2012-04-16","","Codeine phosphate + Triprolidine hydrochloride + Pseudoephedrine hydrochloride","Opioid/ stimulant","",NA
95494,"AC+C","DCL","Tab","8mg","2012-04-16","","Acetaminophen + Codeine phosphate + Caffeine","Opioid","",NA
108162,"222","FRS","Tab","8mg","2012-04-16","","Acetaminophen + Codeine phosphate + Caffeine","Opioid","",NA
115630,"Librax","HLR","Cap","5mg & 2.5mg","2012-04-16","","Chlordiazepoxide hydrochloride + Clidinium bromide","BZD","",NA
125083,"Dilaudid","PFP","Tab","2mg","2012-04-16","","Hydromorphone hydrochloride","Opioid","",NA
125121,"Dilaudid","PFP","Tab","4mg","2012-04-16","","Hydromorphone hydrochloride","Opioid","",NA
