DIN.PIN,Brand.Name,Manufacturer.Code,Dosage.Form,Strength,Effective.Date,End.Date,Active.Ingredients,Active.Ingredient.Class.and.Use,Active.Ingredient.Dose,Other.Notes,conversion_factor,
5606,Ritalin,NOV,tab,10mg,2012-04-16,2022-07-11,methylphenidate,stimulant- adhd and narcolepsy,,,1,
5614,Ritalin,NOV,tab,20mg,2012-04-16,,methylphenidate,stimulant- adhd and narcolepsy,,,1,
12696,Dalmane,VAL,cap,15mg,2012-04-16,,flurazepam,bzd- insomnia ,,,0.33,
12718,Dalmane,VAL,cap,30mg,2012-04-16,,flurazepam,bzd- insomnia ,,,0.33,
13285,Valium,HLR,tab,5mg,2012-04-16,,diazepam,bzd,,,1,
50024,Codeine Phosphate Sirop De,LAA,o/l,143mg,2012-04-16,,codeine phosphate,opioid,25mg/5ml,,0.15,
68594,CoActifed,BWE,o/l,2mg/5mL & 30mg/5mL & 10 mg/5mL,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid/ stimulant,10mg/ml,,0.15,
68608,Coactifed,GSK,tab,20mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid/ stimulant,,,0.15,
68756,Coactifed,GSK,o/l,100mg,2012-04-16,,codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride,opioid/ stimulant,2mg/ml,,0.15,
95494,AC+C,DCL,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
108162,222,FRS,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
115630,Librax,HLR,cap,5mg & 2.5mg,2012-04-16,,chlordiazepoxide hydrochloride + clidinium bromide,bzd,5mg,,0.4,
125083,Dilaudid,PFP,tab,2mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
125121,Dilaudid,PFP,tab,4mg,2012-04-16,,hydromorphone hydrochloride,opioid,,,5,
176192,Fiorinal C1/4,NOV,cap,330mg & 50mg & 40mg & 15mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/ barbituate,15mg,,0.15,
176206,Fiorinal C1/2,NOV,cap,330mg & 50mg & 40mg & 30mg,2012-04-16,,butalbital + acetylsalicylic acid + caffeine + codeine phosphate,opioid/ barbituate,30mg,,0.15,
180041,AC+C 8MG,VIP,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
272434,Novo-Dipam,NOP,tab,2mg,2012-11-29,,diazepam,bzd,,,1,
272442,Novo-Dipam,NOP,tab,5mg,2012-11-29,,diazepam,bzd,,,1,
272450,Novo-Dipam,NOP,tab,10mg,2012-11-29,,diazepam,bzd,,,1,
293490,ATASOL-8,HOR,tab,8mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,,,0.15,
293504,Atasol-15,HOR,tab,300mg & 15mg & 15mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,15mg,,0.15,
293512,Atasol-30,HOR,tab,300mg & 15mg & 30mg,2012-04-16,,acetaminophen + codeine phosphate + caffeine,opioid,30mg,,0.15,
313580,Diazepam 5 Tab,PRD,tab,5mg,2012-04-16,,diazepam,bzd,,,1,
362158,Apo-Diazepam,APX,tab,5mg,2012-04-16,,diazepam,bzd,,,1,
380571,Linctus Codeine Blanc,LAA,o/l,0.2%,2012-04-16,,codeine phosphate,opioid,10mg/ml,,0.15,
382825,Rivotril,HLR,tab,0.5mg,2012-04-16,,clonazepam,bzd,,,10,
382841,Rivotril,HLR,tab,2mg,2012-04-16,,clonazepam,bzd,,,10,
