"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
"00012696","Dalmane","VAL","cap","15mg","2012-04-16","","flurazepam","bzd- insomnia ","",NA
"00012718","Dalmane","VAL","cap","30mg","2012-04-16","","flurazepam","bzd- insomnia ","",NA
"00013285","Valium","HLR","tab","5mg","2012-04-16","","diazepam","bzd","",NA
"00115630","Librax","HLR","cap","5mg & 2.5mg","2012-04-16","","chlordiazepoxide hydrochloride + clidinium bromide","bzd","",NA
"00272434","Novo-Dipam","NOP","tab","2mg","2012-11-29","","diazepam","bzd","",NA
"00272442","Novo-Dipam","NOP","tab","5mg","2012-11-29","","diazepam","bzd","",NA
"00272450","Novo-Dipam","NOP","tab","10mg","2012-11-29","","diazepam","bzd","",NA
"00313580","Diazepam 5 Tab","PRD","tab","5mg","2012-04-16","","diazepam","bzd","",NA
"00362158","Apo-Diazepam","APX","tab","5mg","2012-04-16","","diazepam","bzd","",NA
"00382825","Rivotril","HLR","tab","0.5mg","2012-04-16","","clonazepam","bzd","",NA
"00382841","Rivotril","HLR","tab","2mg","2012-04-16","","clonazepam","bzd","",NA
"00402680","Apo-Oxazepam","APX","tab","10mg","2012-04-16","","oxazepam","bzd","",NA
"00402737","Apo-Oxazepam","APX","tab","30mg","2012-04-16","","oxazepam","bzd","",NA
"00402745","Apo-Oxazepam","APX","tab","15mg","2012-04-16","","oxazepam","bzd","",NA
"00405329","Apo-Diazepam","APX","tab","2mg","2012-04-16","","diazepam","bzd","",NA
"00405337","Apo-Diazepam","APX","tab","10mg","2012-04-16","","diazepam","bzd","",NA
"00414220","Som Pam","VAL","cap","15mg","2012-04-16","","oxazepam","bzd","",NA
"00414239","Som Pam","VAL","cap","30mg","2012-04-16","","oxazepam","bzd","",NA
"00414247","Oxpam","VAL","tab","10mg","2012-04-16","","oxazepam","bzd","",NA
"00414255","Oxpam","VAL","tab","15mg","2012-04-16","","oxazepam","bzd","",NA
"00414263","Oxpam","VAL","tab","30mg","2012-04-16","","oxazepam","bzd","",NA
"00434388","Diazepam 10Tab 10mg","PRD","tab","10mg","2012-04-16","","diazepam","bzd","",NA
"00434396","Diazepam 2Tab 2mg","PRD","tab","2mg","2012-04-16","","diazepam","bzd","",NA
"00496529","Novoxapam","NOP","tab","15mg","2012-11-29","","oxazepam","bzd","",NA
"00496537","Novoxapam","NOP","tab","30mg","2012-11-29","","oxazepam","bzd","",NA
"00497754","Oxazepam 10 Tab 10mg","PRD","tab","10mg","2012-04-16","","oxazepam","bzd","",NA
"00497762","Oxazepam 15 Tab 15mg","PRD","tab","15mg","2012-04-16","","oxazepam","bzd","",NA
"00497770","Oxazepam 30 Tab 30mg","PRD","tab","30mg","2012-04-16","","oxazepam","bzd","",NA
"00500852","Novoxapam","NOP","tab","10mg","2012-11-29","","oxazepam","bzd","",NA
"00511528","Mogadon","VAL","tab","5mg","2012-04-16","","nitrazepam","bzd","",NA
"00511536","Mogadon","VAL","tab","10mg","2012-04-16","","nitrazepam","bzd","",NA
"00518123","Lectopam","HLR","tab","3mg","2012-04-16","","bromazepam","bzd","",NA
"00518131","Lectopam","HLR","tab","6mg","2012-04-16","","bromazepam","bzd","",NA
"00521698","Apo-Flurazepam","APX","cap","15mg","2012-04-16","","flurazepam","bzd","",NA
"00521701","Apo-Flurazepam","APX","cap","30mg","2012-04-16","","flurazepam","bzd","",NA
"00522724","Chlordiazepoxide","AAP","cap","5mg","2012-04-16","","chlordiazepoxide","bzd","",NA
"00522988","Chlordiazepoxide","AAP","cap","10mg","2012-04-16","","chlordiazepoxide","bzd","",NA
"00522996","Chlordiazepoxide","AAP","cap","25mg","2012-04-16","","chlordiazepoxide","bzd","",NA
"00548359","Xanax","PFI","tab","0.25mg","2012-04-16","","alprazolam","bzd","",NA
"00548367","Xanax","PFI","tab","0.5mg","2012-04-16","","alprazolam","bzd","",NA
"00568392","Riva Oxazepam","RIA","tab","10mg","2012-04-16","","oxazepam","bzd","",NA
"00568406","Riva Oxazepam","RIA","tab","15mg","2012-04-16","","oxazepam","bzd","",NA
"00568414","Riva Oxazepam","RIA","tab","30mg","2012-04-16","","oxazepam","bzd","",NA
"00578479","Flurazepam 15","PRD","cap","15mg","2012-04-16","","flurazepam","bzd","",NA
"00578487","Flurazepam 30","PRD","cap","30mg","2012-04-16","","flurazepam","bzd","",NA
"00604453","Restoril","ORY","cap","15mg","2012-04-16","","temazepam","bzd","",NA
"00604461","Restoril","ORY","cap","30mg","2012-04-16","","temazepam","bzd","",NA
"00618454","Apo-Chlorax Cap","APX","cap","2.5mg","2012-04-16","","chlordiazepoxide","bzd","",NA
"00628190","Novo-Clopate","NOP","cap","3.75mg","2012-11-29","","clorazepate dipotassium","bzd","",NA
"00628204","Novo-Clopate","NOP","cap","7.5mg","2012-11-29","","clorazepate dipotassium","bzd","",NA
"00628212","Novo-Clopate","NOP","cap","15mg","2012-11-29","","clorazepate dipotassium","bzd","",NA
"00636223","Pro Chlorax","PRD","cap","2.5mg","2012-04-16","","chlordiazepoxide","bzd","",NA
"00637742","Novo-Lorazem","NOP","tab","1mg","2012-04-16","","lorazepam","bzd","",NA
"00637750","Novo-Lorazem","NOP","tab","2mg","2012-04-16","","lorazepam","bzd","",NA
"00655643","Pro-Lorazepam Tab 0.5mg","PRD","tab","0.5mg","2012-04-16","","lorazepam","bzd","",NA
"00655651","Pro-Lorazepam Tab 1.0mg","PRD","tab","1mg","2012-04-16","","lorazepam","bzd","",NA
"00655678","Pro-Lorazepam Tab 2mg","PRD","tab","2mg","2012-04-16","","lorazepam","bzd","",NA
"00655740","Apo-Lorazepam","APX","tab","0.5mg","2012-04-16","","lorazepam","bzd","",NA
"00655759","Apo-Lorazepam","APX","tab","1mg","2012-04-16","","lorazepam","bzd","",NA
"00655767","Apo-Lorazepam","APX","tab","2mg","2012-04-16","","lorazepam","bzd","",NA
"00667102","PMS-Flurazepam Cap 15mg","PMS","cap","15mg","2012-04-16","","flurazepam","bzd","",NA
"00711101","Novo-Lorazem","NOP","tab","0.5mg","2012-04-16","","lorazepam","bzd","",NA
"00723770","Xanax","PFI","tab","1mg","2012-04-16","","alprazolam","bzd","",NA
"00726362","PMS-Oxazepam Tab 10mg","PMS","tab","10mg","2012-04-16","","oxazepam","bzd","",NA
"00726370","PMS-Oxazepam Tab 15mg","PMS","tab","15mg","2012-04-16","","oxazepam","bzd","",NA
"00726389","PMS-Oxazepam Tab 30mg","PMS","tab","30mg","2012-04-16","","oxazepam","bzd","",NA
"00728187","PMS-Lorazepam","PMS","tab","0.5mg","2012-04-16","","lorazepam","bzd","",NA
"00728195","PMS-Lorazepam","PMS","tab","1mg","2012-04-16","","lorazepam","bzd","",NA
"00728209","PMS-Lorazepam","PMS","tab","2mg","2012-04-16","","lorazepam","bzd","",NA
"00808563","Triazolam","AAP","tab","0.125mg","2012-04-16","","triazolam","bzd","",NA
"00808571","Triazolam","AAP","tab","0.25mg","2012-04-16","","triazolam","bzd","",NA
"00813958","Xanax TS","PFI","tab","2mg","2012-04-16","","alprazolam","bzd","",NA
"00860689","Clorazepate","AAP","cap","3.75mg","2012-04-16","","clorazepate dipotassium","bzd","",NA
"00860697","Clorazepate","AAP","cap","15mg","2012-04-16","","clorazepate dipotassium","bzd","",NA
"00860700","Clorazepate","AAP","cap","7.5mg","2012-04-16","","clorazepate dipotassium","bzd","",NA
"00865397","Apo-Alpraz","APX","tab","0.25mg","2012-04-16","","alprazolam","bzd","",NA
"00865400","Apo-Alpraz","APX","tab","0.5mg","2012-04-16","","alprazolam","bzd","",NA
"00891797","PMS-Diazepam","PMS","o/l","1mg/mL","2012-04-16","","diazepam","bzd","",NA
"01908170","Alprazolam-0.5 Tab 0.5mg","PRD","tab","0.5mg","2012-04-16","","alprazolam","bzd","",NA
"01908189","Alprazolam-0.25 Tab 0.25mg","PRD","tab","0.25mg","2012-04-16","","alprazolam","bzd","",NA
"01913239","Nu-Alpraz","NXP","tab","0.25mg","2012-04-16","","alprazolam","bzd","",NA
"01913247","Nu-Alpraz","NXP","tab","0.5mg","2012-04-16","","alprazolam","bzd","",NA
"01913484","Teva-Alprazolam","TEV","tab","0.25mg","2012-04-16","","alprazolam","bzd","",NA
"01913492","Teva-Alprazolam","TEV","tab","0.5mg","2012-04-16","","alprazolam","bzd","",NA
"01913506","Mylan-Triazolam","MYL","tab","0.25mg","2012-10-17","","triazolam","bzd","",NA
"01995227","Mylan-Triazolam","MYL","tab","0.125mg","2012-10-17","","triazolam","bzd","",NA
"02041405","Ativan","WAY","inj sol (with preservative)","4mg/mL","2017-02-28","","lorazepam","bzd","",NA
