"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
"00005606","Ritalin","NOV","tab","10mg","2012-04-16","2022-07-11","methylphenidate","stimulant- adhd and narcolepsy","",NA
"00005614","Ritalin","NOV","tab","20mg","2012-04-16","","methylphenidate","stimulant- adhd and narcolepsy","",NA
"00012696","Dalmane","VAL","cap","15mg","2012-04-16","","flurazepam","bzd- insomnia ","",0.33
"00012718","Dalmane","VAL","cap","30mg","2012-04-16","","flurazepam","bzd- insomnia ","",0.33
"00013285","Valium","HLR","tab","5mg","2012-04-16","","diazepam","bzd","",1
"00050024","Codeine Phosphate Sirop De","LAA","o/l","143mg","2012-04-16","","codeine phosphate","opioid","",0.15
"00068594","CoActifed","BWE","o/l","2mg/5mL & 30mg/5mL & 10 mg/5mL","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid/ stimulant","",0.15
"00068608","Coactifed","GSK","tab","20mg","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid/ stimulant","",0.15
"00068756","Coactifed","GSK","o/l","100mg","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid/ stimulant","",0.15
"00095494","AC+C","DCL","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00108162","222","FRS","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00115630","Librax","HLR","cap","5mg & 2.5mg","2012-04-16","","chlordiazepoxide hydrochloride + clidinium bromide","bzd","",0.4
"00125083","Dilaudid","PFP","tab","2mg","2012-04-16","","hydromorphone hydrochloride","opioid","",5
"00125121","Dilaudid","PFP","tab","4mg","2012-04-16","","hydromorphone hydrochloride","opioid","",5
"00176192","Fiorinal C1/4","NOV","cap","330mg & 50mg & 40mg & 15mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine + codeine phosphate","opioid/ barbituate","",0.15
"00176206","Fiorinal C1/2","NOV","cap","330mg & 50mg & 40mg & 30mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine + codeine phosphate","opioid/ barbituate","",0.15
"00180041","AC+C 8MG","VIP","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00272434","Novo-Dipam","NOP","tab","2mg","2012-11-29","","diazepam","bzd","",1
"00272442","Novo-Dipam","NOP","tab","5mg","2012-11-29","","diazepam","bzd","",1
"00272450","Novo-Dipam","NOP","tab","10mg","2012-11-29","","diazepam","bzd","",1
"00293490","ATASOL-8","HOR","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00293504","Atasol-15","HOR","tab","300mg & 15mg & 15mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00293512","Atasol-30","HOR","tab","300mg & 15mg & 30mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00313580","Diazepam 5 Tab","PRD","tab","5mg","2012-04-16","","diazepam","bzd","",1
"00362158","Apo-Diazepam","APX","tab","5mg","2012-04-16","","diazepam","bzd","",1
"00380571","Linctus Codeine Blanc","LAA","o/l","0.2%","2012-04-16","","codeine phosphate","opioid","",0.15
"00382825","Rivotril","HLR","tab","0.5mg","2012-04-16","","clonazepam","bzd","",10
"00382841","Rivotril","HLR","tab","2mg","2012-04-16","","clonazepam","bzd","",10
"00392472","Supeudol","SIL","sup","20mg","2012-04-16","","oxycodone hydrochloride","opioid","",1.5
"00392480","Supeudol","SIL","sup","10mg","2012-04-16","","oxycodone hydrochloride","opioid","",1.5
"00402680","Apo-Oxazepam","APX","tab","10mg","2012-04-16","","oxazepam","bzd","",0.33
"00402737","Apo-Oxazepam","APX","tab","30mg","2012-04-16","","oxazepam","bzd","",0.33
"00402745","Apo-Oxazepam","APX","tab","15mg","2012-04-16","","oxazepam","bzd","",0.33
"00405329","Apo-Diazepam","APX","tab","2mg","2012-04-16","","diazepam","bzd","",1
"00405337","Apo-Diazepam","APX","tab","10mg","2012-04-16","","diazepam","bzd","",1
"00414220","Som Pam","VAL","cap","15mg","2012-04-16","","oxazepam","bzd","",0.33
"00414239","Som Pam","VAL","cap","30mg","2012-04-16","","oxazepam","bzd","",0.33
"00414247","Oxpam","VAL","tab","10mg","2012-04-16","","oxazepam","bzd","",0.33
"00414255","Oxpam","VAL","tab","15mg","2012-04-16","","oxazepam","bzd","",0.33
"00414263","Oxpam","VAL","tab","30mg","2012-04-16","","oxazepam","bzd","",0.33
"00426865","NOVO AC+C 8MG","NOP","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00434388","Diazepam 10Tab 10mg","PRD","tab","10mg","2012-04-16","","diazepam","bzd","",1
"00434396","Diazepam 2Tab 2mg","PRD","tab","2mg","2012-04-16","","diazepam","bzd","",1
"00443948","Supeudol","SDZ","tab","10mg","2012-04-16","","oxycodone hydrochloride","opioid","",1.5
"00472549","Vasofrinic Dh","LAT","o/l","30mg","2012-04-16","","dihydrocodeine","opioid","",0.15
"00486582","M.O.S.","VAL","o/l","1mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00496529","Novoxapam","NOP","tab","15mg","2012-11-29","","oxazepam","bzd","",0.33
"00496537","Novoxapam","NOP","tab","30mg","2012-11-29","","oxazepam","bzd","",0.33
"00497754","Oxazepam 10 Tab 10mg","PRD","tab","10mg","2012-04-16","","oxazepam","bzd","",0.33
"00497762","Oxazepam 15 Tab 15mg","PRD","tab","15mg","2012-04-16","","oxazepam","bzd","",0.33
"00497770","Oxazepam 30 Tab 30mg","PRD","tab","30mg","2012-04-16","","oxazepam","bzd","",0.33
"00500852","Novoxapam","NOP","tab","10mg","2012-11-29","","oxazepam","bzd","",0.33
"00507407","Dalmacol","LAA","o/l","3.33mg","2012-04-16","","dihydrocodeine","opioid","",0.15
"00511528","Mogadon","VAL","tab","5mg","2012-04-16","","nitrazepam","bzd","",1
"00511536","Mogadon","VAL","tab","10mg","2012-04-16","","nitrazepam","bzd","",1
"00514217","M.O.S.","VAL","o/l","5mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00518123","Lectopam","HLR","tab","3mg","2012-04-16","","bromazepam","bzd","",NA
"00518131","Lectopam","HLR","tab","6mg","2012-04-16","","bromazepam","bzd","",NA
"00521698","Apo-Flurazepam","APX","cap","15mg","2012-04-16","","flurazepam","bzd","",0.33
"00521701","Apo-Flurazepam","APX","cap","30mg","2012-04-16","","flurazepam","bzd","",0.33
"00522724","Chlordiazepoxide","AAP","cap","5mg","2012-04-16","","chlordiazepoxide","bzd","",0.4
"00522988","Chlordiazepoxide","AAP","cap","10mg","2012-04-16","","chlordiazepoxide","bzd","",0.4
"00522996","Chlordiazepoxide","AAP","cap","25mg","2012-04-16","","chlordiazepoxide","bzd","",0.4
"00535230","CALMYLIN","TCH","","","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid","",0.15
"00548359","Xanax","PFI","tab","0.25mg","2012-04-16","","alprazolam","bzd","",10
"00548367","Xanax","PFI","tab","0.5mg","2012-04-16","","alprazolam","bzd","",10
"00550477","Ratio-Calmydone","RPH","o/l","3.33mg","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid","",0.15
"00568392","Riva Oxazepam","RIA","tab","10mg","2012-04-16","","oxazepam","bzd","",0.33
"00568406","Riva Oxazepam","RIA","tab","15mg","2012-04-16","","oxazepam","bzd","",0.33
"00568414","Riva Oxazepam","RIA","tab","30mg","2012-04-16","","oxazepam","bzd","",0.33
"00578479","Flurazepam 15","PRD","cap","15mg","2012-04-16","","flurazepam","bzd","",0.33
"00578487","Flurazepam 30","PRD","cap","30mg","2012-04-16","","flurazepam","bzd","",0.33
"00584991","PMS-Methylphenidate","PMS","tab","10mg","2012-04-16","","methylphenidate","stimulant","",NA
"00585009","PMS-Methylphenidate","PMS","tab","20mg","2012-04-16","","methylphenidate","stimulant","",NA
"00589470","AC+C 1/8GR","PMS","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00589489","ACETAMINOPHEN WITH CODEINE","PMS","tab","8mg","2012-04-16","","codeine phosphate","opioid","",0.15
"00591467","Statex","PAL","o/l","1mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00591475","Statex","PAL","o/l","5mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00593168","Sirop Cocillana Codeine","LAA","o/l","0.566mg","2012-04-16","","codeine phosphate","opioid","",0.15
"00593435","Ratio-Codeine","RPH","tab","15mg","2012-04-16","","codeine phosphate","opioid","",0.15
"00593451","Ratio-Codeine","RPH","tab","30mg","2012-04-16","","codeine phosphate","opioid","",0.15
"00594636","Statex","PAL","tab","25mg","2012-04-16","","morphine sulfate","opioid","",1
"00594644","Statex","PAL","tab","10mg","2012-04-16","","morphine sulfate","opioid","",1
"00594652","Statex","PAL","tab","5mg","2012-04-16","","morphine sulfate","opioid","",1
"00596965","Statex Suppositories 20mg","PAL","rect sup","20mg","2012-04-16","","morphine sulfate","opioid","",1
"00604453","Restoril","ORY","cap","15mg","2012-04-16","","temazepam","bzd","",0.5
"00604461","Restoril","ORY","cap","30mg","2012-04-16","","temazepam","bzd","",0.5
"00607762","Ratio-Morphine","RPH","o/l","1mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00607770","Ratio-Morphine","RPH","o/l","5mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00608157","Ratio-Oxycodan","RPH","tab","5mg & 325mg","2012-04-16","","oxycodone hydrochloride","opioid","",1.5
"00608165","Ratio-Oxycocet","RPH","tab","5mg & 325mg","2012-04-16","","oxycodone hydrochloride + acetaminophen","opioid","",1.5
"00608181","Ratio-Tecnal C1/2","RPH","cap","330mg & 50mg & 40mg & 30mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine + codeine phosphate","opioid/ barbituate","",0.15
"00608203","Ratio-Tecnal C1/4","RPH","cap","330mg & 50mg & 40mg & 15mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine + codeine phosphate","opioid/ barbituate","",0.15
"00608211","Ratio-Tecnal","RPH","tab","50mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine+codeine","opioid/ barbituate","",0.15
"00608238","Ratio-Tecnal","RPH","cap","330mg & 50mg & 40mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine+codeine","opioid/ barbituate","",0.15
"00608882","Ratio-Emtec","RPH","tab","300mg & 30mg","2012-04-16","","acetaminophen + codeine phosphate","opioid","",0.15
"00614491","Doloral 1","LAA","o/l","1mg","2012-04-16","","morphine sulfate","opioid","",1
"00614505","Doloral 5 Sirop 5mg/mL","LAA","o/l","5mg","2012-04-16","","morphine sulfate","opioid","",1
"00615528","NOVOGESIC-C8","NOP","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00617059","ACETAMINOPHEN 500MG COMP TAB/CODEINE","RPR","tab","8mg","2012-04-16","","codeine phosphate","opioid","",0.15
"00618454","Apo-Chlorax Cap","APX","cap","2.5mg","2012-04-16","","chlordiazepoxide","bzd","",0.4
"00621463","Ratio-Lenoltec No.4","RPH","tab","300mg & 60mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00621935","Statex","PAL","oral drops","20mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00624268","M.O.S.","ICN","sup","10mg","2012-11-29","","morphine sulfate","opioid","",1
"00624276","M.O.S.","ICN","sup","20mg","2012-11-29","","morphine sulfate","opioid","",1
"00628190","Novo-Clopate","NOP","cap","3.75mg","2012-11-29","","clorazepate dipotassium","bzd","",0.67
"00628204","Novo-Clopate","NOP","cap","7.5mg","2012-11-29","","clorazepate dipotassium","bzd","",0.67
"00628212","Novo-Clopate","NOP","cap","15mg","2012-11-29","","clorazepate dipotassium","bzd","",0.67
"00632201","Statex","PMS","sup","10mg","2012-04-16","","morphine sulfate","opioid","",1
"00632228","Statex Suppositories 5mg","PAL","rect sup","5mg","2012-04-16","","morphine sulfate","opioid","",1
"00632481","M.O.S.","VAL","o/l","20mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00632503","M.O.S.","VAL","o/l","10mg/mL","2012-04-16","","morphine sulfate","opioid","",1
"00632775","Ritalin SR","NOV","er tab","20mg","2012-04-16","","methylphenidate","stimulant","",NA
"00636223","Pro Chlorax","PRD","cap","2.5mg","2012-04-16","","chlordiazepoxide","bzd","",0.4
"00636681","M.O.S.","ICN","sup","30mg","2012-11-29","","morphine sulfate","opioid","",1
"00637742","Novo-Lorazem","NOP","tab","1mg","2012-04-16","","lorazepam","bzd","",5
"00637750","Novo-Lorazem","NOP","tab","2mg","2012-04-16","","lorazepam","bzd","",5
"00639389","Statex Suppositories 30mg","PAL","rect sup","30mg","2012-04-16","","morphine sulfate","opioid","",1
"00647217","Statex Syrup 10mg/mL","PAL","o/l","10mg","2012-04-16","","morphine sulfate","opioid","",1
"00653233","LENOLTEC NO.1","TCH","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00653241","Ratio-Lenoltec No.2","RPH","tab","300mg & 15mg & 15mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00653276","Ratio-Lenoltec No.3","RPH","tab","300mg & 15mg & 30mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid","",0.15
"00655643","Pro-Lorazepam Tab 0.5mg","PRD","tab","0.5mg","2012-04-16","","lorazepam","bzd","",5
"00655651","Pro-Lorazepam Tab 1.0mg","PRD","tab","1mg","2012-04-16","","lorazepam","bzd","",5
"00655678","Pro-Lorazepam Tab 2mg","PRD","tab","2mg","2012-04-16","","lorazepam","bzd","",5
"00655740","Apo-Lorazepam","APX","tab","0.5mg","2012-04-16","","lorazepam","bzd","",5
"00655759","Apo-Lorazepam","APX","tab","1mg","2012-04-16","","lorazepam","bzd","",5
"00655767","Apo-Lorazepam","APX","tab","2mg","2012-04-16","","lorazepam","bzd","",5
