"","variable","dummyVariable","typeEnd","databaseStart","variableStart","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes"
"1","active_transport","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p","DerivedVar::[PAC_4A_cont, PAC_4B_cont]","N/A","Func::active_transport1_fun","N/A","N/A","N/A","mins","N/A","Daily active transportation","Daily active transportation","Time spent - active transportation daily",""
"2","active_transport","N/A","cont","cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont]","N/A","Func::active_transport2_fun","N/A","N/A","N/A","mins","N/A","Daily active transportation","Daily active transportation","Time spent - active transportation daily",""
"3","active_transport","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","DerivedVar::[PAYDVTTR, PAADVTRV]","N/A","Func::active_transport3_fun","N/A","N/A","N/A","mins","N/A","Daily active transportation","Daily active transportation","Time spent - active transportation daily",""
"4","active_transport","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[PAC_4A_cont, PAC_4B_cont, PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont, PAYDVTTR, PAADVTRV]","N/A","NA::a","N/A","N/A","N/A","mins","N/A","Daily active transportation","Daily active transportation","Time spent - active transportation daily",""
"5","active_transport","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","DerivedVar::[PAC_4A_cont, PAC_4B_cont, PAC_7, PAC_7A, PAC_7B_cont, PAC_8, PAC_8A, PAC_8B_cont, PAYDVTTR, PAADVTRV]","N/A","NA::b","N/A","N/A","N/A","mins","N/A","Daily active transportation","Daily active transportation","Time spent - active transportation daily",""
"6","ADL_01","ADL_01_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, cchs2015_2016_p::ADL_005, cchs2017_2018_p::ADL_005,[ADL_01]","cat","1","2","Yes","Yes","N/A","1","Yes","Help preparing meals","Needs help - preparing meals",""
"7","ADL_01","ADL_01_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, [ADL_01]","cat","2","2","No","No","N/A","2","No","Help preparing meals","Needs help - preparing meals",""
"8","ADL_01","ADL_01_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, [ADL_01]","cat","NA::a","2","not applicable","not applicable","N/A","6","not applicable","Help preparing meals","Needs help - preparing meals",""
"9","ADL_01","ADL_01_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, [ADL_01]","cat","NA::b","2","missing","missing","N/A","[7,9]","don't know (7); refusal (8); not stated (9)","Help preparing meals","Needs help - preparing meals",""
"10","ADL_01","ADL_01_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::RACA_6A, cchs2003_p::RACC_6A, cchs2005_p::RACE_6A, cchs2007_2008_p::RAC_6A, [ADL_01]","cat","NA::b","2","missing","missing","N/A","else","else","Help preparing meals","Needs help - preparing meals",""
