variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,,,,,,,,,,
ADL_01,intermediate,Help preparing meals,Needs help - preparing meals,Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_m::RACA_6A, cchs2003_m::RACC_6A, cchs2005_m::RACE_6A, cchs2007_2008_m::RAC_6A, cchs2001_i::RACA_6A, cchs2003_i::RACC_6A, cchs2005_i::RACE_6A, cchs2007_2008_i::RAC_6A, cchs2015_2016_m::ADL_005, cchs2017_2018_m::ADL_005, [ADL_01]",,,,,,,,,,,,
ADL_02,intermediate,Help appointments/errands,Needs help - getting to appointments/errands,Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_m::RACA_6B, cchs2003_m::RACC_6B1, cchs2005_m::RACE_6B1, cchs2007_2008_m::RAC_6B1, cchs2001_i::RACA_6B, cchs2003_i::RACC_6B1, cchs2005_i::RACE_6B1, cchs2007_2008_i::RAC_6B1, cchs2015_2016_m::ADL_010, cchs2017_2018_m::ADL_010, [ADL_02]",,,,,,,,,,,,
ADL_03,intermediate,Help housework,Needs help - doing housework,Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_m::RACA_6C, cchs2003_m::RACC_6C, cchs2005_m::RACE_6C, cchs2007_2008_m::RAC_6C, cchs2001_i::RACA_6C, cchs2003_i::RACC_6C, cchs2005_i::RACE_6C, cchs2007_2008_i::RAC_6C, cchs2015_2016_m::ADL_015, cchs2017_2018_m::ADL_015, [ADL_03]",,,,,,,,,,,,
ADL_04,intermediate,Help personal care,Needs help - personal care,Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_m::RACA_6E, cchs2003_m::RACC_6E, cchs2005_m::RACE_6E, cchs2007_2008_m::RAC_6E, cchs2001_i::RACA_6E, cchs2003_i::RACC_6E, cchs2005_i::RACE_6E, cchs2007_2008_i::RAC_6E, cchs2015_2016_m::ADL_020, cchs2017_2018_m::ADL_020[ADL_04]",,,,,,,,,,,,
ADL_05,intermediate,Help move inside house,Needs help - moving about inside house,Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_m::RACA_6F, cchs2003_m::RACC_6F, cchs2005_m::RACE_6F, cchs2007_2008_m::RAC_6F,cchs2001_i::RACA_6F, cchs2003_i::RACC_6F, cchs2005_i::RACE_6F, cchs2007_2008_i::RAC_6F, cchs2015_2016_m::ADL_025, cchs2017_2018_m::ADL_025, [ADL_05]",,,,,,,,,,,,
ADL_der,predictor,Derived help tasks,Derived needs help with tasks,Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","DerivedVar::[ADL_01, ADL_02, ADL_03, ADL_04, ADL_05]",,,,,,,,,,,,
ADL_score_5,predictor,ADL score ,"Derived using the ADL variables common to all cycles from 2001 to 2014 (ADL_01,  ADL_02,  ADL_03,  ADL_04, ADL_05) to represent the number of tasks that an individual needs help with.",Health status,ADL,Categorical,N/A,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","DerivedVar::[ADL_01, ADL_02, ADL_03, ADL_04, ADL_05]",,,,,,,,,,,,
DHH_AGE,"intermediate, imputation variable",Age,Continous age,Demographics,Age,Continuous,Years,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_m::DHHA_AGE, cchs2003_m::DHHC_AGE, cchs2005_m::DHHE_AGE, cchs2001_i::DHHA_AGE, cchs2003_i::DHHC_AGE, cchs2005_i::DHHE_AGE, [DHH_AGE]",Continuous age variable,,,,,,,,,,,
DHH_AGE_C,intermediate,Age,Centered continous age variable,Demographics,Age,Continuous,Years,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[DHH_AGE],,"center[DHH_AGE, mean]",,,,,,,,,,
DHH_AGE_C_rcs1,predictor,Centered age first RCS variable,Centered age first RCS variable,Demographics,Age,Continuous,Years,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m,  cchs2011_2012_m,  cchs2013_2014_m,  cchs2015_2016_m, cchs2017_2018_m,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[DHH_AGE_C],,"rcs[DHH_AGE_C, 1]",,,,,,,,,,
