"","package","dependencies"
"1","tidyverse","askpass, backports, base64enc, bit, bit64, blob, broom, bslib, cachem, callr, cellranger, cli, clipr, conflicted, cpp11, crayon, curl, data.table, DBI, dbplyr, digest, dplyr, dtplyr, evaluate, farver, fastmap, fontawesome, forcats, fs, gargle, generics, ggplot2, glue, googledrive, googlesheets4, graphics, grDevices, grid, gtable, haven, highr, hms, htmltools, httr, ids, isoband, jquerylib, jsonlite, knitr, labeling, lattice, lifecycle, lubridate, magrittr, MASS, Matrix, memoise, methods, mgcv, mime, modelr, nlme, openssl, pillar, pkgconfig, prettyunits, processx, progress, ps, purrr, R6, ragg, rappdirs, RColorBrewer, readr, readxl, rematch, rematch2, reprex, rlang, rmarkdown, rstudioapi, rvest, sass, scales, selectr, splines, stats, stringi, stringr, sys, systemfonts, textshaping, tibble, tidyr, tidyselect, timechange, tinytex, tools, tzdb, utf8, utils, uuid, vctrs, viridisLite, vroom, withr, xfun, xml2, yaml"
"2","recodeflow","bit, bit64, cli, clipr, cpp11, crayon, datawizard, dplyr, forcats, generics, glue, graphics, grDevices, haven, hms, insight, lifecycle, magrittr, methods, pillar, pkgconfig, prettyunits, progress, purrr, R6, readr, rlang, sjlabelled, stats, stringi, stringr, tibble, tidyr, tidyselect, tools, tzdb, utf8, utils, vctrs, vroom, withr, XML"
"3","mice","backports, bit, bit64, boot, broom, cli, clipr, codetools, cpp11, crayon, dplyr, forcats, foreach, generics, glmnet, glue, graphics, grDevices, grid, haven, hms, iterators, jomo, lattice, lifecycle, lme4, magrittr, MASS, Matrix, methods, minqa, mitml, nlme, nloptr, nnet, numDeriv, ordinal, pan, parallel, pillar, pkgconfig, prettyunits, progress, purrr, R6, rbibutils, Rcpp, RcppEigen, Rdpack, readr, reformulas, rlang, rpart, shape, splines, stats, stringi, stringr, survival, tibble, tidyr, tidyselect, tools, tzdb, ucminf, utf8, utils, vctrs, vroom, withr"
"4","gtsummary","base64enc, bigD, bitops, bslib, cachem, cards, cardx, cli, commonmark, cpp11, curl, digest, dplyr, evaluate, farver, fastmap, fontawesome, fs, generics, glue, graphics, grDevices, gt, highr, htmltools, htmlwidgets, jquerylib, jsonlite, juicyjuice, knitr, labeling, lifecycle, litedown, magrittr, markdown, memoise, methods, mime, pillar, pkgconfig, purrr, R6, rappdirs, RColorBrewer, Rcpp, reactable, reactR, rlang, rmarkdown, sass, scales, stats, stringi, stringr, tibble, tidyr, tidyselect, tinytex, tools, utf8, utils, V8, vctrs, viridisLite, withr, xfun, xml2, yaml"
"5","labelled","bit, bit64, cli, clipr, cpp11, crayon, dplyr, forcats, generics, glue, graphics, grDevices, haven, hms, lifecycle, magrittr, methods, pillar, pkgconfig, prettyunits, progress, purrr, R6, readr, rlang, stats, stringi, stringr, tibble, tidyr, tidyselect, tools, tzdb, utf8, utils, vctrs, vroom, withr"
"6","here","rprojroot"
"7","fastDummies","cli, data.table, glue, lifecycle, magrittr, methods, pillar, pkgconfig, rlang, stats, stringi, stringr, tibble, tools, utf8, utils, vctrs"
"8","rms","backports, base64enc, bslib, cachem, checkmate, cli, cluster, codetools, colorspace, data.table, digest, evaluate, farver, fastmap, fontawesome, foreign, Formula, fs, ggplot2, glue, graphics, grDevices, grid, gridExtra, gtable, highr, Hmisc, htmlTable, htmltools, htmlwidgets, isoband, jquerylib, jsonlite, knitr, labeling, lattice, lifecycle, magrittr, MASS, Matrix, MatrixModels, memoise, methods, mgcv, mime, multcomp, mvtnorm, nlme, nnet, pillar, pkgconfig, polspline, quantreg, R6, rappdirs, RColorBrewer, rlang, rmarkdown, rpart, rstudioapi, sandwich, sass, scales, SparseM, splines, stats, stringi, stringr, survival, TH.data, tibble, tinytex, tools, utf8, utils, vctrs, viridis, viridisLite, withr, xfun, yaml, zoo"
"9","Hmisc","backports, base64enc, bslib, cachem, checkmate, cli, cluster, colorspace, data.table, digest, evaluate, farver, fastmap, fontawesome, foreign, Formula, fs, ggplot2, glue, graphics, grDevices, grid, gridExtra, gtable, highr, htmlTable, htmltools, htmlwidgets, isoband, jquerylib, jsonlite, knitr, labeling, lattice, lifecycle, magrittr, MASS, Matrix, memoise, methods, mgcv, mime, nlme, nnet, pillar, pkgconfig, R6, rappdirs, RColorBrewer, rlang, rmarkdown, rpart, rstudioapi, sass, scales, splines, stats, stringi, stringr, tibble, tinytex, tools, utf8, utils, vctrs, viridis, viridisLite, withr, xfun, yaml"
"10","tidylog","cli, clisymbols, cpp11, dplyr, generics, glue, graphics, grDevices, lifecycle, magrittr, methods, pillar, pkgconfig, purrr, R6, rlang, stats, stringi, stringr, tibble, tidyr, tidyselect, tools, utf8, utils, vctrs, withr"
"11","cowplot","cli, farver, ggplot2, glue, graphics, grDevices, grid, gtable, isoband, labeling, lattice, lifecycle, magrittr, MASS, Matrix, methods, mgcv, nlme, pillar, pkgconfig, R6, RColorBrewer, rlang, scales, splines, stats, tibble, utf8, utils, vctrs, viridisLite, withr"
"12","glue","methods"
"13","janitor","cli, cpp11, dplyr, generics, glue, graphics, grDevices, hms, lifecycle, lubridate, magrittr, methods, pillar, pkgconfig, purrr, R6, rlang, snakecase, stats, stringi, stringr, tibble, tidyr, tidyselect, timechange, tools, utf8, utils, vctrs, withr"
"14","readxl","cellranger, cli, cpp11, crayon, glue, grDevices, hms, lifecycle, magrittr, methods, pillar, pkgconfig, prettyunits, progress, R6, rematch, rlang, tibble, utf8, utils, vctrs"
"15","writexl",""
"16","betareg","flexmix, Formula, graphics, grDevices, grid, lattice, lmtest, methods, modeltools, nnet, sandwich, stats, stats4, utils, zoo"
